enterprise,source_domain,source_role,fact_source_allowed_for_enterprise,allowed_for_bid,parameter_fact_allowed,requires_original_evidence,source_file,source_file_sha256,source_table_id,source_table_index,source_row_number,source_page,source_section,raw_name,raw_unit,normalized_unit,unit_conversion_performed,requirement_raw,guarantee_raw,numeric_value,nominal_designation_raw,product_family,value_status,fact_status,material_code,material_description,quantity_raw,quantity_unit,quantity_numeric,manufacturer_raw,existing_report_cross_check_scope
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,4,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管,MPP,φ150","电缆保护管,MPP,φ150",150,φ150,MPP电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,5,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管,MPP,φ200","电缆保护管,MPP,φ200",200,φ200,MPP电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,6,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管,MPP,φ100","电缆保护管,MPP,φ100",100,φ100,MPP电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,7,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管,MPP,φ175","电缆保护管,MPP,φ175",175,φ175,MPP电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,8,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管, CPVC,φ50","电缆保护管, CPVC,φ50",50,φ50,CPVC电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,9,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管, CPVC,φ250","电缆保护管, CPVC,φ250",250,φ250,CPVC电缆保护管,historical_enterprise_claim,partial_match_existing_inspection_report,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,product_family_and_nominal_designation_only
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,10,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管, CPVC,φ150","电缆保护管, CPVC,φ150",150,φ150,CPVC电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,11,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管, CPVC,φ200","电缆保护管, CPVC,φ200",200,φ200,CPVC电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,12,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管, CPVC,φ100","电缆保护管, CPVC,φ100",100,φ100,CPVC电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
河北泰昌电力器材科技有限公司,mixed_historical_bid,historical_bid_claim,False,False,False,True,assets/template_words/技术补充文件.docx,2dd987a9742f92b8d81f3c490ce40958ceb7f664d823af17c300f755a030d80d,technical-table-006,6,13,310,（二）专项投标文件 / 7.技术服务，包括培训、安装指导等 / 7.3.备品备件,型号和规格,φ,φ,False,"电缆保护管, CPVC,φ175","电缆保护管, CPVC,φ175",175,φ175,CPVC电缆保护管,historical_enterprise_claim,unverified_historical_claim,,,以实际数量为准,米,,河北泰昌电力器材科技有限公司,none
