序号,章节,行号,占位内容,分类,优先级,责任方,处理动作,上下文
11,1. 投标函及投标函附录,67,具体质保期月数或年数,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,016/ISO 9001:2015体系要求，一次检验合格率≥98% | 详见技术文件及质量管理体系认证证书 | | 4 | 质量保证期 | 按招标文件要求 | 【待补充：具体质保期月数或年数】 | 自验收合格之日起计算 | | 5 | 投标有效期 | 按招标文件要求 | 【待补充：具体天数】日 | 自投标文件提交之日起 | | 6 | 投标保证金 | 按招标文件要求提供 | 已提交，金额【
12,1. 投标函及投标函附录,68,具体天数,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,| 4 | 质量保证期 | 按招标文件要求 | 【待补充：具体质保期月数或年数】 | 自验收合格之日起计算 | | 5 | 投标有效期 | 按招标文件要求 | 【待补充：具体天数】日 | 自投标文件提交之日起 | | 6 | 投标保证金 | 按招标文件要求提供 | 已提交，金额【待补充：金额】元 | 形式：【待补充：保证金形式】 | | 7 | 项目经理 | 具备相应资格 | 
13,1. 投标函及投标函附录,69,金额,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息, | 投标有效期 | 按招标文件要求 | 【待补充：具体天数】日 | 自投标文件提交之日起 | | 6 | 投标保证金 | 按招标文件要求提供 | 已提交，金额【待补充：金额】元 | 形式：【待补充：保证金形式】 | | 7 | 项目经理 | 具备相应资格 | 晁猛（项目经理/厂长） | 详见项目管理机构配置 | | 8 | 质量、环境、职业健康安全认证 | 质量管理体系认
14,1. 投标函及投标函附录,69,保证金形式,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,件要求 | 【待补充：具体天数】日 | 自投标文件提交之日起 | | 6 | 投标保证金 | 按招标文件要求提供 | 已提交，金额【待补充：金额】元 | 形式：【待补充：保证金形式】 | | 7 | 项目经理 | 具备相应资格 | 晁猛（项目经理/厂长） | 详见项目管理机构配置 | | 8 | 质量、环境、职业健康安全认证 | 质量管理体系认证证书编号：06925Q10172R
15,1. 投标函及投标函附录,74,金额或比例,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,10 | 法定代表人 | 法定代表人证明 | 晁坤琳 | 详见法定代表人身份证明 | | 11 | 履约保证金 | 按招标文件要求 | 我方承诺中标后按规定提交【待补充：金额或比例】的履约保证金 | 按合同约定执行 | | 12 | 售后服务响应时间 | 按招标文件要求 | 接到通知后【待补充：小时数】小时内响应，【待补充：天数】内到达现场 | 详见售后服务承诺 |  **说明：
16,1. 投标函及投标函附录,75,小时数,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,要求 | 我方承诺中标后按规定提交【待补充：金额或比例】的履约保证金 | 按合同约定执行 | | 12 | 售后服务响应时间 | 按招标文件要求 | 接到通知后【待补充：小时数】小时内响应，【待补充：天数】内到达现场 | 详见售后服务承诺 |  **说明：** 1. 本投标函附录中凡标注“【待补充】”的内容，需在正式投标前根据招标文件具体要求、企业实际情况及最终报价方案进行填
17,1. 投标函及投标函附录,75,天数,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,提交【待补充：金额或比例】的履约保证金 | 按合同约定执行 | | 12 | 售后服务响应时间 | 按招标文件要求 | 接到通知后【待补充：小时数】小时内响应，【待补充：天数】内到达现场 | 详见售后服务承诺 |  **说明：** 1. 本投标函附录中凡标注“【待补充】”的内容，需在正式投标前根据招标文件具体要求、企业实际情况及最终报价方案进行填写确认。 2. 投标人承诺严
18,1. 投标函及投标函附录,78,未说明,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,按招标文件要求 | 接到通知后【待补充：小时数】小时内响应，【待补充：天数】内到达现场 | 详见售后服务承诺 |  **说明：** 1. 本投标函附录中凡标注“【待补充】”的内容，需在正式投标前根据招标文件具体要求、企业实际情况及最终报价方案进行填写确认。 2. 投标人承诺严格履行本投标函及投标函附录所列全部承诺事项，如有违反，愿意接受招标人依据招标文件及相关规定做出
19,1. 投标函及投标函附录,89,未说明,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,|----------|--------------| | 1 | 营业执照副本复印件（统一社会信用代码：91130607056539515C） | 资格文件第【待补充】页 | | 2 | 法定代表人身份证明及授权委托书 | 资格文件第【待补充】页 | | 3 | 质量管理体系认证证书（编号：06925Q10172R4） | 资格文件第【待补充】页 | | 4 | 环
20,1. 投标函及投标函附录,90,未说明,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,副本复印件（统一社会信用代码：91130607056539515C） | 资格文件第【待补充】页 | | 2 | 法定代表人身份证明及授权委托书 | 资格文件第【待补充】页 | | 3 | 质量管理体系认证证书（编号：06925Q10172R4） | 资格文件第【待补充】页 | | 4 | 环境管理体系认证证书（编号：17424E20980R0M） | 资格文件第【待
21,1. 投标函及投标函附录,91,未说明,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,| 2 | 法定代表人身份证明及授权委托书 | 资格文件第【待补充】页 | | 3 | 质量管理体系认证证书（编号：06925Q10172R4） | 资格文件第【待补充】页 | | 4 | 环境管理体系认证证书（编号：17424E20980R0M） | 资格文件第【待补充】页 | | 5 | 职业健康安全管理体系认证证书（编号：626023S10219R0） | 资格
22,1. 投标函及投标函附录,92,未说明,J-证书监督审核/有效期复核,P1,资质资料负责人,核对证书原件、监督审核页、有效期和认证机构信息,证书（编号：06925Q10172R4） | 资格文件第【待补充】页 | | 4 | 环境管理体系认证证书（编号：17424E20980R0M） | 资格文件第【待补充】页 | | 5 | 职业健康安全管理体系认证证书（编号：626023S10219R0） | 资格文件第【待补充】页 | | 6 | 电缆保护管MPP检验报告（编号：202410031200550171
23,1. 投标函及投标函附录,93,未说明,J-证书监督审核/有效期复核,P1,资质资料负责人,核对证书原件、监督审核页、有效期和认证机构信息,：17424E20980R0M） | 资格文件第【待补充】页 | | 5 | 职业健康安全管理体系认证证书（编号：626023S10219R0） | 资格文件第【待补充】页 | | 6 | 电缆保护管MPP检验报告（编号：2024100312005501712） | 资格文件第【待补充】页 | | 7 | 电缆保护管CPVC检验报告（编号：20241003120055
24,1. 投标函及投标函附录,94,未说明,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,6023S10219R0） | 资格文件第【待补充】页 | | 6 | 电缆保护管MPP检验报告（编号：2024100312005501712） | 资格文件第【待补充】页 | | 7 | 电缆保护管CPVC检验报告（编号：2024100312005501713） | 资格文件第【待补充】页 | | 8 | 主要业绩证明材料（合同编号：SGTJWZ00HTMM2210
25,1. 投标函及投标函附录,95,未说明,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,12005501712） | 资格文件第【待补充】页 | | 7 | 电缆保护管CPVC检验报告（编号：2024100312005501713） | 资格文件第【待补充】页 | | 8 | 主要业绩证明材料（合同编号：SGTJWZ00HTMM2210273等） | 资格文件第【待补充】页 | | 9 | 人员证明材料 | 资格文件第【待补充】页 | | 10 | 生产
26,1. 投标函及投标函附录,96,未说明,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,0312005501713） | 资格文件第【待补充】页 | | 8 | 主要业绩证明材料（合同编号：SGTJWZ00HTMM2210273等） | 资格文件第【待补充】页 | | 9 | 人员证明材料 | 资格文件第【待补充】页 | | 10 | 生产设备及检测设备清单 | 资格文件第【待补充】页 |  ---  【四、特别声明】  本投标函及投标函附录内容均依据招
27,1. 投标函及投标函附录,97,未说明,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,| | 8 | 主要业绩证明材料（合同编号：SGTJWZ00HTMM2210273等） | 资格文件第【待补充】页 | | 9 | 人员证明材料 | 资格文件第【待补充】页 | | 10 | 生产设备及检测设备清单 | 资格文件第【待补充】页 |  ---  【四、特别声明】  本投标函及投标函附录内容均依据招标文件要求及本公司实际情况如实填写。对于需进一步确认的具体
28,1. 投标函及投标函附录,98,未说明,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,210273等） | 资格文件第【待补充】页 | | 9 | 人员证明材料 | 资格文件第【待补充】页 | | 10 | 生产设备及检测设备清单 | 资格文件第【待补充】页 |  ---  【四、特别声明】  本投标函及投标函附录内容均依据招标文件要求及本公司实际情况如实填写。对于需进一步确认的具体参数、金额、人员、日期等信息，已在相应位置予以标注，承诺在正式投标前完
29,1. 投标函及投标函附录,108,具体日期,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,前完成全部补充、核实工作，并确保所提供资料的真实性、准确性和完整性。  投标人：河北泰昌电力器材科技有限公司（盖章）   法定代表人：晁坤琳（签字）   日期：【待补充：具体日期】  ## 1.1 编制依据  【1 编制依据总则】  本投标函及投标函附录的编制，严格遵循《中华人民共和国招标投标法》《中华人民共和国招标投标法实施条例》等法律法规，并完全响应国网辽宁省电力有限公司发
30,1.2 项目概况,165,分标名称、包号、包名称,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,投标函及投标函附录，承诺按照招标文件规定的供货范围、技术标准、交货期限、质量要求和合同条款履行全部义务。  【2. 项目范围与供货内容】  本次投标范围为本项目【待补充：分标名称、包号、包名称】项下的电缆保护管物资供货。具体包括：  - 物资类别：电缆保护管（MPP/CPVC），型号规格详见招标文件技术规范及报价清单。 - 供货数量：【待补充：最终投标报价数量】 - 交货时间：【待补充：响应
31,1.2 项目概况,168,最终投标报价数量,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,称、包号、包名称】项下的电缆保护管物资供货。具体包括：  - 物资类别：电缆保护管（MPP/CPVC），型号规格详见招标文件技术规范及报价清单。 - 供货数量：【待补充：最终投标报价数量】 - 交货时间：【待补充：响应招标文件要求的交货期】 - 交货地点：国网辽宁省电力有限公司指定施工现场或仓库（具体地点按招标人书面通知）。 - 质保期：【待补充：按招标文件约定响应】 - 投标有效期：
32,1.2 项目概况,169,响应招标文件要求的交货期,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,具体包括：  - 物资类别：电缆保护管（MPP/CPVC），型号规格详见招标文件技术规范及报价清单。 - 供货数量：【待补充：最终投标报价数量】 - 交货时间：【待补充：响应招标文件要求的交货期】 - 交货地点：国网辽宁省电力有限公司指定施工现场或仓库（具体地点按招标人书面通知）。 - 质保期：【待补充：按招标文件约定响应】 - 投标有效期：【待补充：响应招标文件要求】  我方承诺所供产品全部
33,1.2 项目概况,171,按招标文件约定响应,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,价数量】 - 交货时间：【待补充：响应招标文件要求的交货期】 - 交货地点：国网辽宁省电力有限公司指定施工现场或仓库（具体地点按招标人书面通知）。 - 质保期：【待补充：按招标文件约定响应】 - 投标有效期：【待补充：响应招标文件要求】  我方承诺所供产品全部为原厂生产、全新合格品，并严格按照国家及行业标准、招标文件技术规范进行生产、检验、包装、运输和交付。  【3. 投标人基本情况】 
34,1.2 项目概况,172,响应招标文件要求,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,求的交货期】 - 交货地点：国网辽宁省电力有限公司指定施工现场或仓库（具体地点按招标人书面通知）。 - 质保期：【待补充：按招标文件约定响应】 - 投标有效期：【待补充：响应招标文件要求】  我方承诺所供产品全部为原厂生产、全新合格品，并严格按照国家及行业标准、招标文件技术规范进行生产、检验、包装、运输和交付。  【3. 投标人基本情况】  | 项目 | 内容 | |------|--
35,1.3 总体部署,229,按招标文件要求填写，如90天,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,、业绩、人员、设备等资料真实、完整、有效。投标函附录中关键承诺如下：  | 承诺事项 | 内容 | |----------|------| | 投标有效期 | 【待补充：按招标文件要求填写，如90天】 | | 交货期 | 【待补充：按分标包号要求填写】 | | 质保期 | 【待补充：按招标文件要求，如投运后24个月】 | | 投标保证金 | 【待补充：金额及形式】 | | 履约保证金 | 【待补充
36,1.3 总体部署,230,按分标包号要求填写,C-目标分标包件/货物清单/规格数量,P0,投标项目负责人,从最终投标包件、货物清单和技术规范书确认后填写,如下：  | 承诺事项 | 内容 | |----------|------| | 投标有效期 | 【待补充：按招标文件要求填写，如90天】 | | 交货期 | 【待补充：按分标包号要求填写】 | | 质保期 | 【待补充：按招标文件要求，如投运后24个月】 | | 投标保证金 | 【待补充：金额及形式】 | | 履约保证金 | 【待补充：按合同约定】 |  上述承诺以最终签署版投标函附录
37,1.3 总体部署,231,按招标文件要求，如投运后24个月,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,----|------| | 投标有效期 | 【待补充：按招标文件要求填写，如90天】 | | 交货期 | 【待补充：按分标包号要求填写】 | | 质保期 | 【待补充：按招标文件要求，如投运后24个月】 | | 投标保证金 | 【待补充：金额及形式】 | | 履约保证金 | 【待补充：按合同约定】 |  上述承诺以最终签署版投标函附录为准，如中标，我方将严格履行。  【二、总体组织思路】  本次投标
38,1.3 总体部署,232,金额及形式,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,填写，如90天】 | | 交货期 | 【待补充：按分标包号要求填写】 | | 质保期 | 【待补充：按招标文件要求，如投运后24个月】 | | 投标保证金 | 【待补充：金额及形式】 | | 履约保证金 | 【待补充：按合同约定】 |  上述承诺以最终签署版投标函附录为准，如中标，我方将严格履行。  【二、总体组织思路】  本次投标由公司董事长晁坤琳担任项目总指挥，总经理杨贺担任
39,1.3 总体部署,233,按合同约定,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,按分标包号要求填写】 | | 质保期 | 【待补充：按招标文件要求，如投运后24个月】 | | 投标保证金 | 【待补充：金额及形式】 | | 履约保证金 | 【待补充：按合同约定】 |  上述承诺以最终签署版投标函附录为准，如中标，我方将严格履行。  【二、总体组织思路】  本次投标由公司董事长晁坤琳担任项目总指挥，总经理杨贺担任项目协调负责人，统筹生产、质检、物流、售后全链条
40,1.3 总体部署,243,X,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,01质量管理体系（证书编号06925Q10172R4）保障产品品质，确保按期交付。  【三、阶段安排与关键节点】  1. **生产备货阶段**：收到中标通知书后【待补充：X】日内完成原材料采购与排产，利用现有CPVC生产线【待补充：X】条、MPP生产线【待补充：X】条，日产能不少于【待补充：X】米。 2. **检验阶段**：每批次产品按照GB/T 19001、检验报告（C
41,1.3 总体部署,243,X,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,品质，确保按期交付。  【三、阶段安排与关键节点】  1. **生产备货阶段**：收到中标通知书后【待补充：X】日内完成原材料采购与排产，利用现有CPVC生产线【待补充：X】条、MPP生产线【待补充：X】条，日产能不少于【待补充：X】米。 2. **检验阶段**：每批次产品按照GB/T 19001、检验报告（CPVC报告编号2024100312005501713，MPP报
42,1.3 总体部署,243,X,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,阶段安排与关键节点】  1. **生产备货阶段**：收到中标通知书后【待补充：X】日内完成原材料采购与排产，利用现有CPVC生产线【待补充：X】条、MPP生产线【待补充：X】条，日产能不少于【待补充：X】米。 2. **检验阶段**：每批次产品按照GB/T 19001、检验报告（CPVC报告编号2024100312005501713，MPP报告编号202410031200
43,1.3 总体部署,243,X,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,**生产备货阶段**：收到中标通知书后【待补充：X】日内完成原材料采购与排产，利用现有CPVC生产线【待补充：X】条、MPP生产线【待补充：X】条，日产能不少于【待补充：X】米。 2. **检验阶段**：每批次产品按照GB/T 19001、检验报告（CPVC报告编号2024100312005501713，MPP报告编号2024100312005501712）标准逐批检验，
44,1.3 总体部署,247,X,D-投标承诺期限/日期/响应时限,P0,商务+履约负责人,按招标文件要求和公司承诺口径确认后填写,合格证、出厂检验报告、型式试验报告（如需），配合招标方抽样验收。 5. **售后服务阶段**：技术售后人员王强、陈国华、黄文清、林乌金提供7×24小时电话响应，【待补充：X】小时内到场处理质量问题。  【四、资源投入与协同机制】  **人员投入**：拟投入以下核心人员： - 项目总指挥：晁坤琳（董事长/试验员） - 生产负责人：晁猛（厂长/项目经理） - 技术负责人：赵称
45,1.3 总体部署,260,姓名、电话,E-授权签章/联系人/人员姓名,P0,法务/授权经办人,补充最终授权代表、联系人、签字盖章和身份证明信息,锤击试验装置、熔体流动速率仪、电子拉力试验机等检测设备，设备检定均在有效期内（具体型号、精度、检定周期详见设备台账待补充）。  **协同机制**：设立项目联络人【待补充：姓名、电话】，与招标人、监理单位、物流公司建立每日进度通报机制；利用ERP系统管控生产、质检、库存、发运全流程。  【五、质量安全管理】  我方已取得质量管理体系认证（06925Q10172R4）、环境管理体系认
46,2. 资格审查资料,322,经人工复核监督审核页后填写,J-证书监督审核/有效期复核,P1,资质资料负责人,核对证书原件、监督审核页、有效期和认证机构信息, 环境管理体系认证证书 | 17424E20980R0M | GB/T 24001-2016/ISO 14001:2015 | 华信创认证（北京）有限公司 | 【待补充：经人工复核监督审核页后填写】 | 附件2-2 | | 3 | 职业健康安全管理体系认证证书 | 626023S10219R0 | GB/T 45001-2020/ISO 45001:2018 | 凯新认证（北京）有限公司 | 2
47,2. 资格审查资料,324,证书编号,J-证书监督审核/有效期复核,P1,资质资料负责人,核对证书原件、监督审核页、有效期和认证机构信息,5001-2020/ISO 45001:2018 | 凯新认证（北京）有限公司 | 2026年6月18日 | 附件2-3 | | 4 | 绿色电力认证证书 | 【待补充：证书编号】 | — | 【待补充】 | 【待补充】 | 附件2-4 |  【3 人员证书】  【3.1 主要管理及技术人员】  我公司拥有经验丰富的技术、生产、质检及售后团队，关键岗位人员长期从事电缆保护管产品
48,2. 资格审查资料,324,未说明,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,01:2018 | 凯新认证（北京）有限公司 | 2026年6月18日 | 附件2-3 | | 4 | 绿色电力认证证书 | 【待补充：证书编号】 | — | 【待补充】 | 【待补充】 | 附件2-4 |  【3 人员证书】  【3.1 主要管理及技术人员】  我公司拥有经验丰富的技术、生产、质检及售后团队，关键岗位人员长期从事电缆保护管产品相关工作。以下为本次投标
49,2. 资格审查资料,324,未说明,F-项目人员最终指派及证明,P1,项目管理/人事,确认本项目实际投入人员，并匹配社保、劳动合同或任命证明,| 凯新认证（北京）有限公司 | 2026年6月18日 | 附件2-3 | | 4 | 绿色电力认证证书 | 【待补充：证书编号】 | — | 【待补充】 | 【待补充】 | 附件2-4 |  【3 人员证书】  【3.1 主要管理及技术人员】  我公司拥有经验丰富的技术、生产、质检及售后团队，关键岗位人员长期从事电缆保护管产品相关工作。以下为本次投标涉及的主要人员信
50,2. 资格审查资料,374,如有其他同类项目供货业绩，可在此处按相同格式列出，并附相关证明材料于附件4-2、附件4-3等。,I-业绩附件/合同验收发票复核,P1,商务资料负责人,补齐或复核合同、中标通知书、验收/评价、发票等附件关键页,应的中标通知书、采购合同关键页、用户评价证明（如有）见附件4-1。经复核，合同标的物与本项目投标产品同类型，数量与金额真实可查。  【4.2 其他相关业绩】  【待补充：如有其他同类项目供货业绩，可在此处按相同格式列出，并附相关证明材料于附件4-2、附件4-3等。】  我公司承诺上述业绩均为我公司直接与买方签订并履行完毕的合同，无转包、分包情况。业绩证明材料真实、完整，可接受招标人及评标委员会的核查。  【5 信誉声明】  【5.1 无
51,2. 资格审查资料,437,未说明,A-最终报价/价格清单/商务金额,P0,商务报价负责人,依据最终报价表、分项价格表、税率和投标策略填写,** 1. 以上所有附件均随本投标文件一同递交，纸质版与电子版内容一致。 2. 附件中涉及证书编号、合同金额等关键信息均来自企业真实资料，已按核验事实填写；部分【待补充】项需人工复核后替换。 3. 我公司承诺对资格审查资料的真实性、有效性负责，如有虚假，自愿接受招标人依据招标文件和国家相关规定作出的处理。  ## 2.1 企业基本资格资料  本章节汇总河北泰昌电力器材
52,2.1 企业基本资格资料,450,开户银行全称,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,提交的投标保证金应从投标人基本账户转出。我公司已取得银行出具的基本账户开户许可证（或由基本账户开户银行通过账户管理系统打印的《基本存款账户信息》），开户行名称：【待补充：开户银行全称】，账号：【待补充：基本账户账号】**。上述资料扫描件见附件1-2，并已按照第六章投标文件格式要求上传至招标人招投标交易平台信息系统。  【3. 管理体系认证证书】  我公司已通过质量管理体系、环境管理
53,2.1 企业基本资格资料,450,基本账户账号,B-保证金/银行账户资料,P0,财务/商务负责人,补充基本账户开户信息、保证金金额、形式、缴纳凭证或保函信息,户转出。我公司已取得银行出具的基本账户开户许可证（或由基本账户开户银行通过账户管理系统打印的《基本存款账户信息》），开户行名称：【待补充：开户银行全称】，账号：【待补充：基本账户账号】**。上述资料扫描件见附件1-2，并已按照第六章投标文件格式要求上传至招标人招投标交易平台信息系统。  【3. 管理体系认证证书】  我公司已通过质量管理体系、环境管理体系、职业健康安全管理体系认证，
54,2.1 企业基本资格资料,459,需结合监督审核页确认,J-证书监督审核/有效期复核,P1,资质资料负责人,核对证书原件、监督审核页、有效期和认证机构信息,月15日 | | 环境管理体系认证证书 | GB/T 24001-2016/ISO 14001:2015 | 17424E20980R0M | 华信创认证 | 【待补充：需结合监督审核页确认】 | | 职业健康安全管理体系认证证书 | GB/T 45001-2020/ISO 45001:2018 | 626023S10219R0 | 凯新认证（北京）有限公司 | 2026年6月18日 | 
