candidate_id,dedup_status_label,disposition,evidence_type_label,ready_for_ingestion,reason,source_document_name,source_page,source_section,title
business-chapter-017,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,15,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图
business-chapter-018,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,15,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果
business-chapter-019,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,15,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（1）营业执照信息查询截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（1）营业执照信息查询截图
business-chapter-020,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,15,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（2）清算信息查询截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（2）清算信息查询截图
business-chapter-021,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,16,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（3）行政处罚信息查询截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（3）行政处罚信息查询截图
business-chapter-022,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,16,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（4）纳入经营异常名录信息查询截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（4）纳入经营异常名录信息查询截图
business-chapter-023,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,17,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（5）纳入严重违反失信企业名单（黑名单）信息查询截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（5）纳入严重违反失信企业名单（黑名单）信息查询截图
business-chapter-024,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,18,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（6）股东及出资信息查询截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（6）股东及出资信息查询截图
business-chapter-025,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,19,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（7）国家企业信用信息公示系统查询截图,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.1.国家企业信用信息公示系统查询结果/（7）国家企业信用信息公示系统查询截图
business-chapter-026,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,56,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.2.信用中国”（www.creditchina.gov.cn）中的查询结果,泰昌商务标历史目录参考：补充文件/5.符合招标文件投标人资格要求的证明文件/5.2查询报告及截图/5.2.2.信用中国”（www.creditchina.gov.cn）中的查询结果
business-chapter-027,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,63,(三)补充文件/6.财务状况,泰昌商务标历史目录参考：补充文件/6.财务状况
business-chapter-028,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,64,(三)补充文件/6.财务状况/6.1.新增2024年审计报告,泰昌商务标历史目录参考：补充文件/6.财务状况/6.1.新增2024年审计报告
business-chapter-029,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,91,(三)补充文件/7.针对评审要素，需要补充的其他文件,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件
business-chapter-030,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,91,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.1.应急保供,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.1.应急保供
business-chapter-031,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证
business-chapter-032,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况
business-chapter-033,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告
business-chapter-034,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,110,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况
business-chapter-035,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,110,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况/（1）质量管理体系认证证书,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况/（1）质量管理体系认证证书
business-chapter-036,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,112,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况/（2）职业健康安全管理体系认证证书,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况/（2）职业健康安全管理体系认证证书
business-chapter-037,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,115,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况/（3）环境管理体系认证证书,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.2.绿色管理体系认证情况/（3）环境管理体系认证证书
business-chapter-038,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,117,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况
business-chapter-039,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,117,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况/（1）ESG(环境、社会、公司治理)报告,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况/（1）ESG(环境、社会、公司治理)报告
business-chapter-040,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,156,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况/（2）废水、废气、废固报告,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况/（2）废水、废气、废固报告
business-chapter-041,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,191,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况/（3）现状环境影响评估报告,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.3.环境影响评价情况/（3）现状环境影响评估报告
business-chapter-042,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,281,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况
business-chapter-043,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,281,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况/（1）绿色电力认证证书,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况/（1）绿色电力认证证书
business-chapter-044,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,282,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况/（2）绿色供应链认证证书,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况/（2）绿色供应链认证证书
business-chapter-045,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,283,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况/（3）绿色电力证书交易凭证,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.4.绿电绿证情况/（3）绿色电力证书交易凭证
business-chapter-046,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,286,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.5.绿色低碳响应情况,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.5.绿色低碳响应情况
business-chapter-047,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,286,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/（1）碳足迹报告,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/（1）碳足迹报告
business-chapter-048,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,303,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.3.创新激励机制、供应链保障措施,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.3.创新激励机制、供应链保障措施
business-chapter-049,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,303,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.3.创新激励机制、供应链保障措施/（1）创新激励机制评价报告,泰昌商务标历史目录参考：补充文件/7.针对评审要素，需要补充的其他文件/7.3.创新激励机制、供应链保障措施/（1）创新激励机制评价报告
business-chapter-050,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,315,(三)补充文件/8.投标人自述的企业名称变更原因说明、市场监督管理部门出具的‘名称变更证明’相关证明材料、有权机构出具的‘资格资质变更证明’等相关证明材料。（如有）,泰昌商务标历史目录参考：补充文件/8.投标人自述的企业名称变更原因说明、市场监督管理部门出具的‘名称变更证明’相关证明材料、有权机构出具的‘资格资质变更证明’等相关证明材料。（如有）
business-chapter-051,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,316,(三)补充文件/9.制造商授权委托书（本批次不适用）,泰昌商务标历史目录参考：补充文件/9.制造商授权委托书（本批次不适用）
business-chapter-052,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,317,(三)补充文件/10.供应商关于配合开展资质能力信息核实的承诺函,泰昌商务标历史目录参考：补充文件/10.供应商关于配合开展资质能力信息核实的承诺函
business-chapter-053,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,318,(三)补充文件/11.公章对投标专用章授权书,泰昌商务标历史目录参考：补充文件/11.公章对投标专用章授权书
business-chapter-054,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,319,(三)补充文件/12.其他,泰昌商务标历史目录参考：补充文件/12.其他
business-chapter-055,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,319,(三)补充文件/12.其他/12.1.发明专利证书,泰昌商务标历史目录参考：补充文件/12.其他/12.1.发明专利证书
business-chapter-056,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,320,(三)补充文件/12.其他/12.2.中华人民共和国国家版权局计算机软件著作权登记证书,泰昌商务标历史目录参考：补充文件/12.其他/12.2.中华人民共和国国家版权局计算机软件著作权登记证书
business-chapter-057,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,321,(三)补充文件/12.其他/12.3.河北省守合同重信用企业,泰昌商务标历史目录参考：补充文件/12.其他/12.3.河北省守合同重信用企业
business-chapter-058,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,322,(三)补充文件/12.其他/12.4.中国裁判文书网查询截图,泰昌商务标历史目录参考：补充文件/12.其他/12.4.中国裁判文书网查询截图
business-chapter-059,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,323,(三)补充文件/12.其他/12.5.中国执行信息公开网查询截图,泰昌商务标历史目录参考：补充文件/12.其他/12.5.中国执行信息公开网查询截图
business-chapter-060,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,324,(三)补充文件/12.其他/12.6.一般纳税人查询截图,泰昌商务标历史目录参考：补充文件/12.其他/12.6.一般纳税人查询截图
business-chapter-061,未发现重复，仍需审核,保留历史参考,历史目录结构参考,False,章节或表单只用于历史结构对照，不属于泰昌企业事实资产,泰昌商务补充文件,325,（四）法定代表人（单位负责人）权委托书,泰昌商务标历史目录参考：法定代表人（单位负责人）权委托书
business-fact-0001,事实冲突,禁止复用,历史项目上下文,False,历史项目字段或事实值与当前基线冲突,泰昌商务补充文件,1,未归入章节,泰昌历史项目上下文历史候选第1页
business-fact-0002,事实冲突,禁止复用,历史项目上下文,False,历史项目字段或事实值与当前基线冲突,泰昌商务补充文件,4,（一）商务偏差表/1.商务偏差表,泰昌历史项目上下文历史候选第4页
business-fact-0003,事实冲突,禁止复用,历史项目上下文,False,历史项目字段或事实值与当前基线冲突,泰昌商务补充文件,4,（一）商务偏差表/1.商务偏差表,泰昌历史项目上下文历史候选第4页
business-fact-0004,精确重复，不新增,禁止新增,产品参数表,False,与现有数字资产精确重复,泰昌商务补充文件,4,（一）商务偏差表/1.商务偏差表,泰昌产品参数表历史候选第4页
business-media-0001,精确重复，不新增,禁止新增,企业证明材料,False,与现有数字资产精确重复,泰昌商务补充文件,1,未归入章节,泰昌企业证明材料历史候选第1页
business-media-0002,精确重复，不新增,禁止新增,企业证明材料,False,与现有数字资产精确重复,泰昌商务补充文件,7,(三)补充文件/2.投标人情况/2.1.投标人与国家电网公司系统人员关系说明,泰昌企业证明材料历史候选第7页
business-media-0006,精确重复，不新增,禁止新增,企业证明材料,False,与现有数字资产精确重复,泰昌商务补充文件,13,(三)补充文件/4.有效的税务登记证明,泰昌企业证明材料历史候选第13页
business-media-0007,精确重复，不新增,禁止新增,企业证明材料,False,与现有数字资产精确重复,泰昌商务补充文件,13,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）/5.1.1.资格预审结果通知书,泰昌企业证明材料历史候选第13页
business-media-0008,精确重复，不新增,禁止新增,项目业绩,False,与现有数字资产精确重复,泰昌商务补充文件,15,(三)补充文件/5.符合招标文件投标人资格要求的证明文件/5.1.符合投标邀请书投标人资格要求的证明文件（更新或补充）/5.1.2.资质业绩凭证单,泰昌项目业绩历史候选第15页
business-media-0066,精确重复，不新增,禁止新增,财务资料,False,与现有数字资产精确重复,泰昌商务补充文件,65,(三)补充文件/6.财务状况/6.1.新增2024年审计报告,泰昌财务资料历史候选第65页
business-media-0090,精确重复，不新增,禁止新增,绿色低碳资料,False,与现有数字资产精确重复,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌绿色低碳资料历史候选第92页
business-media-0091,精确重复，不新增,禁止新增,绿色低碳资料,False,与现有数字资产精确重复,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌绿色低碳资料历史候选第92页
business-media-0092,精确重复，不新增,禁止新增,绿色低碳资料,False,与现有数字资产精确重复,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌绿色低碳资料历史候选第92页
business-media-0093,精确重复，不新增,禁止新增,绿色低碳资料,False,与现有数字资产精确重复,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌绿色低碳资料历史候选第92页
business-media-0094,精确重复，不新增,禁止新增,绿色低碳资料,False,与现有数字资产精确重复,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌绿色低碳资料历史候选第92页
business-media-0095,精确重复，不新增,禁止新增,绿色低碳资料,False,与现有数字资产精确重复,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌绿色低碳资料历史候选第92页
business-media-0096,精确重复，不新增,禁止新增,绿色低碳资料,False,与现有数字资产精确重复,泰昌商务补充文件,92,(三)补充文件/7.针对评审要素，需要补充的其他文件/7.2.绿色发展规划及管理体系认证/7.2.1.绿色发展规划响应情况/（1）绿色发展规划报告,泰昌绿色低碳资料历史候选第92页
