candidate_count,dedup_statuses,evidence_type,evidence_type_label,machine_recommendations,product_families,required_checks,review_group_id,sensitivity_labels,source_document_name,source_section,target_library,target_library_label
2,"[""视觉疑似重复""]",certification,资质证书,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G022,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/10.认证证书/10.1.质量管理体系认证证书,qualification_library,资信库资料
3,"[""视觉疑似重复""]",certification,资质证书,"[""延后补证""]",[],"[""历史证书已于2026年6月18日到期，必须提供有效续证，禁止正式引用旧证""]",P006-G023,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/10.认证证书/10.2.职业健康安全管理体系认证证书,qualification_library,资信库资料
2,"[""视觉疑似重复""]",certification,资质证书,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G024,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/10.认证证书/10.3.环境管理体系认证证书,qualification_library,资信库资料
5,"[""未发现重复，仍需审核"", ""视觉疑似重复""]",personnel_certificate,人员证书,"[""优先核重"", ""核验原始证据""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体"", ""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G025,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/11.主要技术人员、项目经理及其相关证书/附：试验人员证书,qualification_library,资信库资料
2,"[""未发现重复，仍需审核""]",inspection_report,检验报告,"[""优先核验原始报告""]",[],"[""核对报告编号、产品、规格、检验值、日期和完整原始报告""]",P006-G026,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",product_parameter_table,产品参数表,"[""优先结构化核验""]","[""CPVC电缆保护管""]","[""核对产品族、规格型号、参数值和原始表格，批准后仍须走结构化抽取""]",P006-G027,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",product_parameter_table,产品参数表,"[""优先结构化核验""]","[""MPP电缆保护管""]","[""核对产品族、规格型号、参数值和原始表格，批准后仍须走结构化抽取""]",P006-G028,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",product_parameter_table,产品参数表,"[""优先结构化核验""]","[""UPVC电缆保护管""]","[""核对产品族、规格型号、参数值和原始表格，批准后仍须走结构化抽取""]",P006-G029,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告,product_library,产品库资料
3,"[""视觉疑似重复""]",inspection_report,检验报告,"[""优先核重""]","[""CPVC电缆保护管""]","[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G030,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告/12.1.1.CPVC电缆保护管检验报告,product_library,产品库资料
3,"[""视觉疑似重复""]",inspection_report,检验报告,"[""优先核重""]","[""MPP电缆保护管""]","[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G031,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告/12.1.2.MPP电缆保护管检验报告,product_library,产品库资料
5,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]","[""N-HAP电缆保护管""]","[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G032,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告/12.1.3.N-HAP电缆保护管,product_library,产品库资料
4,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]","[""UPVC电缆保护管""]","[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G033,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.1.检测报告/12.1.4.硬聚氯乙烯塑料(UPVC)电力电缆导管,product_library,产品库资料
4,"[""文本疑似重复""]",testing_capacity,试验检测能力,"[""优先核重""]","[""电缆保护管通用""]","[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G034,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.2.更新校准证书,product_library,产品库资料
3,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G035,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.2.更新校准证书/12.2.1.电子拉力试验机,product_library,产品库资料
3,"[""未发现重复，仍需审核""]",testing_capacity,试验检测能力,"[""核验最新校准证书""]","[""电缆保护管通用""]","[""以可追溯的较新原始校准证书为准，不采用历史台账旧日期""]",P006-G036,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.2.更新校准证书/12.2.2.微机控制电子万能试验机,product_library,产品库资料
3,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G037,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.2.更新校准证书/12.2.3.熔体流动速率仪,product_library,产品库资料
4,"[""文本疑似重复"", ""未发现重复，仍需审核""]",testing_capacity,试验检测能力,"[""优先核重"", ""核验最新校准证书""]","[""电缆保护管通用""]","[""以可追溯的较新原始校准证书为准，不采用历史台账旧日期"", ""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G038,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.2.更新校准证书/12.2.4.热变型、维卡软化点温度测定仪,product_library,产品库资料
3,"[""未发现重复，仍需审核""]",testing_capacity,试验检测能力,"[""核验最新校准证书""]","[""电缆保护管通用""]","[""以可追溯的较新原始校准证书为准，不采用历史台账旧日期""]",P006-G039,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.2.更新校准证书/12.2.5.锤击试验装置,product_library,产品库资料
3,"[""未发现重复，仍需审核""]",testing_capacity,试验检测能力,"[""核验最新校准证书""]","[""电缆保护管通用""]","[""以可追溯的较新原始校准证书为准，不采用历史台账旧日期""]",P006-G040,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/12.检测检验报告（包括型式试验报告、检测报告、鉴定报告、检定报告、校准证书或报告、检测试验报告等相关报告）/12.2.更新校准证书/12.2.6.电子天平,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",project_performance,项目业绩,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G041,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/4.符合招标文件投标人资格要求的证明文件/4.2、资质业绩凭证单,qualification_library,资信库资料
1,"[""未发现重复，仍需审核""]",product_parameter_table,产品参数表,"[""优先结构化核验""]","[""MPP电缆保护管""]","[""核对产品族、规格型号、参数值和原始表格，批准后仍须走结构化抽取""]",P006-G042,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.1.产品制造质量控制/5.1.1.原材料组部件进厂检验检测措施,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",product_parameter_table,产品参数表,"[""优先结构化核验""]","[""MPP电缆保护管"", ""UPVC电缆保护管""]","[""核对产品族、规格型号、参数值和原始表格，批准后仍须走结构化抽取""]",P006-G043,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.1.产品制造质量控制/5.1.1.原材料组部件进厂检验检测措施,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",testing_capacity,试验检测能力,"[""核验最新校准证书""]","[""电缆保护管通用""]","[""以可追溯的较新原始校准证书为准，不采用历史台账旧日期""]",P006-G044,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.1.产品制造质量控制/5.1.1.原材料组部件进厂检验检测措施,product_library,产品库资料
7,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G045,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.2.履约风险/5.2.2.绩效评价,product_library,产品库资料
36,"[""视觉疑似重复""]",green_low_carbon,绿色低碳资料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G046,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.1.ESG(环境、社会、公司治理)报告,product_library,产品库资料
3,"[""视觉疑似重复""]",enterprise_evidence,企业证明材料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G047,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.10.智能制造优秀场景报告,product_library,产品库资料
3,"[""视觉疑似重复""]",enterprise_evidence,企业证明材料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G048,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.11.数字领航企业评价报告,product_library,产品库资料
34,"[""视觉疑似重复""]",green_low_carbon,绿色低碳资料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G049,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.2废水、废气、废固报告,product_library,产品库资料
1,"[""视觉疑似重复""]",green_low_carbon,绿色低碳资料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G050,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.3.现状环境影响评估报告,product_library,产品库资料
17,"[""视觉疑似重复""]",green_low_carbon,绿色低碳资料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G051,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.4.绿色发展规划报告,product_library,产品库资料
17,"[""视觉疑似重复""]",green_low_carbon,绿色低碳资料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G052,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.5.碳足迹报告,product_library,产品库资料
1,"[""视觉疑似重复""]",certification,资质证书,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G053,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.6.绿色电力认证证书,qualification_library,资信库资料
1,"[""视觉疑似重复""]",certification,资质证书,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G054,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.7.绿色供应链认证证书,qualification_library,资信库资料
3,"[""未发现重复，仍需审核""]",green_low_carbon,绿色低碳资料,"[""核验整份原始资料""]",[],"[""连续内嵌页应按完整报告或证据包审核，不逐页新建业务资产""]",P006-G055,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.8.绿色电力证书交易凭证,product_library,产品库资料
4,"[""视觉疑似重复""]",enterprise_evidence,企业证明材料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G056,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/5.针对评审要素，需要补充的其他文件/5.3.绿色低碳生产及绿色回收/5.3.1.建立了绿色生产/5.3.1.9.创新激励机制评价报告,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G057,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/6.招标文件规定的其他应提交的技术文件/6.1.发明专利证书,product_library,产品库资料
1,"[""未发现重复，仍需审核""]",enterprise_evidence,企业证明材料,"[""核验原始证据""]",[],"[""确认资料归属泰昌、内容真实、时效有效、中文展示合规且目标库正确""]",P006-G058,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/6.招标文件规定的其他应提交的技术文件/6.2.中华人民共和国国家版权局计算机软件著作权登记证书,product_library,产品库资料
1,"[""视觉疑似重复""]",enterprise_evidence,企业证明材料,"[""优先核重""]",[],"[""查看原件并确认是新资产、重复资产或同一证据的不同载体""]",P006-G059,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/7.技术服务，包括培训、安装指导等/7.1.技术服务及培训方案,product_library,产品库资料
6,"[""未发现重复，仍需审核""]",product_parameter_table,产品参数表,"[""优先结构化核验""]","[""MPP电缆保护管""]","[""核对产品族、规格型号、参数值和原始表格，批准后仍须走结构化抽取""]",P006-G060,"[""企业内部资料""]",泰昌技术补充文件,（二）专项投标文件/7.技术服务，包括培训、安装指导等/7.3.备品备件,product_library,产品库资料
